DateTime,Market E1 Energy,Market N1 Energy,Market North Non-Spin,Market North RegDwn,Market North RegUp,Market North Spin,Market S1 Energy,Market South Non-Spin,Market South RegDwn,Market South RegUp,Market South Spin,Market W1 Energy
5/10/2023 00:00,18.8,25.3,3.1,3.5,4.1,3.5,20.9,2.7,3.3,4,2.7,21.5
5/10/2023 00:05,19.8,24.6,3.2,3.4,4.3,3.4,21.5,2.7,3.5,3.9,2.7,22.7
5/10/2023 00:10,19.2,23.6,3.2,3.3,4.2,3.3,21.3,2.6,3.4,3.8,2.7,22
5/10/2023 00:15,20.6,24.8,3.3,3.4,4.5,3.4,22.4,2.6,3.6,3.9,2.9,23.6
5/10/2023 00:20,20.2,24.8,3.3,3.5,4.4,3.5,22.2,2.7,3.6,3.9,2.8,23.1
5/10/2023 00:25,19.6,24.3,3.2,3.4,4.3,3.4,21.7,2.7,3.5,3.9,2.8,22.4
5/10/2023 00:30,18.8,24.1,3.1,3.3,4.1,3.3,20.9,2.5,3.3,3.8,2.7,21.5
5/10/2023 00:35,19.8,25.1,3.2,3.4,4.3,3.4,21.3,2.7,3.5,4,2.7,22.7
5/10/2023 00:40,19.8,23.8,3.3,3.4,4.3,3.4,22.2,2.7,3.5,3.8,2.8,22.7
5/10/2023 00:45,19.4,24.6,3.2,3.4,4.2,3.4,21.5,2.6,3.4,3.9,2.7,22.2
5/10/2023 00:50,19.2,24.3,3.1,3.3,4.2,3.3,20.7,2.6,3.4,3.9,2.6,22
5/10/2023 00:55,20,25.6,3.2,3.5,4.4,3.5,21.7,2.7,3.5,4.1,2.8,22.9
5/10/2023 01:00,21.7,28.8,3.3,3.5,4.1,3.5,25.3,2.7,3.4,4,2.8,24.7
5/10/2023 01:05,22.4,28.2,3.2,3.4,4.3,3.4,24.5,2.7,3.5,3.9,2.7,25.4
5/10/2023 01:10,22.1,27.1,3.1,3.3,4.2,3.3,23.5,2.5,3.4,3.8,2.6,25.2
5/10/2023 01:15,23.3,27.6,3.2,3.4,4.4,3.4,24.8,2.7,3.6,3.9,2.8,26.4
5/10/2023 01:20,23,28.8,3.2,3.3,4.4,3.3,24.8,2.5,3.6,4,2.8,26.2
5/10/2023 01:25,22.6,27.9,3.2,3.4,4.3,3.4,24.3,2.7,3.5,3.9,2.7,25.7
5/10/2023 01:30,21.7,26.8,3.1,3.3,4.1,3.3,24,2.6,3.4,3.8,2.7,24.7
5/10/2023 01:35,22.1,28.2,3.3,3.6,4.2,3.6,25,2.8,3.4,3.9,2.8,25.2
5/10/2023 01:40,21.5,28.2,3.1,3.5,4.1,3.5,23.8,2.7,3.3,3.9,2.7,24.4
5/10/2023 01:45,22.6,27.6,3.2,3.4,4.3,3.4,24.5,2.7,3.5,3.9,2.7,25.7
5/10/2023 01:50,21.9,27.4,3.2,3.3,4.2,3.3,24.3,2.5,3.4,3.8,2.7,24.9
5/10/2023 01:55,23.5,28.5,3.3,3.4,4.5,3.4,25.5,2.7,3.6,4,2.9,26.7
5/10/2023 02:00,18.1,23.1,3.1,3.7,4.6,3.7,18.9,2.7,3.8,4.2,2.7,21.2
5/10/2023 02:05,17.6,22.4,3.2,3.6,4.5,3.6,19.5,2.6,3.6,4.1,2.7,20.6
5/10/2023 02:10,16.9,21.5,3.2,3.6,4.3,3.6,19.3,2.6,3.5,3.9,2.7,19.8
5/10/2023 02:15,17.8,22.6,3.3,3.7,4.5,3.7,20.3,2.7,3.7,4.1,2.9,20.8
5/10/2023 02:20,17.8,21.5,3.3,3.5,4.5,3.5,20.1,2.6,3.7,3.9,2.8,20.8
5/10/2023 02:25,17.4,22.6,3.2,3.6,4.4,3.6,19.7,2.7,3.6,4.1,2.8,20.4
5/10/2023 02:30,17.2,22,3.1,3.6,4.4,3.6,18.9,2.6,3.6,4,2.7,20.2
5/10/2023 02:35,17.9,23.5,3.2,3.8,4.6,3.8,19.3,2.8,3.7,4.3,2.7,21
5/10/2023 02:40,17.1,23.1,3.1,3.8,4.3,3.8,18.7,2.7,3.5,4.2,2.6,20
5/10/2023 02:45,17.6,22.4,3.2,3.7,4.5,3.7,19.7,2.7,3.6,4.1,2.8,20.6
5/10/2023 02:50,17.4,21.5,3.1,3.5,4.4,3.5,19.1,2.6,3.6,3.9,2.7,20.4
5/10/2023 02:55,18.3,22.6,3.4,3.6,4.7,3.6,20.5,2.6,3.8,4.1,2.9,21.4
5/10/2023 03:00,17.5,26,5.3,5.3,6.6,5.3,19.3,3.4,4.5,4.9,3.8,20.2
5/10/2023 03:05,17.1,25.5,5.1,5.6,6.5,5.6,18.7,3.6,4.4,4.9,3.6,19.8
5/10/2023 03:10,16.4,25.2,4.9,5.4,6.2,5.4,18,3.5,4.2,4.8,3.5,19
5/10/2023 03:15,16.8,26.2,5.2,5.8,6.4,5.8,18.9,3.7,4.3,5,3.7,19.4
5/10/2023 03:20,17.5,25,5.2,5.7,6.6,5.7,18.9,3.7,4.5,4.8,3.7,20.2
5/10/2023 03:25,17,25.7,5.1,5.5,6.4,5.5,18.5,3.6,4.4,4.9,3.6,19.6
5/10/2023 03:30,16.3,25.5,5,5.3,6.2,5.3,18.3,3.4,4.2,4.9,3.6,18.8
5/10/2023 03:35,17.1,26.8,5.2,5.6,6.5,5.6,19.1,3.6,4.4,5.1,3.7,19.8
5/10/2023 03:40,17.1,26.5,5,5.6,6.5,5.6,18.2,3.6,4.4,5,3.5,19.8
5/10/2023 03:45,16.8,26,5.1,5.5,6.4,5.5,18.7,3.5,4.3,4.9,3.6,19.4
5/10/2023 03:50,16.6,25,5.1,5.4,6.3,5.4,18.5,3.5,4.3,4.8,3.6,19.2
5/10/2023 03:55,17.3,25.5,5.3,5.6,6.6,5.6,19.5,3.6,4.4,4.9,3.8,20
5/10/2023 04:00,19.5,28.7,5.3,6.7,8,6.7,22,3.4,5.4,5.7,3.8,23.8
5/10/2023 04:05,18.9,30.2,5.2,6.9,7.7,6.9,21.6,3.6,5.3,5.9,3.7,23.2
5/10/2023 04:10,18.2,29.3,5,6.9,7.4,6.9,20.7,3.5,5,5.8,3.5,22.2
5/10/2023 04:15,19.1,31.4,5.1,7.2,7.8,7.2,21.1,3.7,5.3,6.2,3.6,23.4
5/10/2023 04:20,18.2,30.8,5.3,7.1,7.4,7.1,22,3.7,5,6.1,3.8,22.2
5/10/2023 04:25,19.1,29.9,5.1,7,7.8,7,21.4,3.6,5.3,5.9,3.6,23.4
5/10/2023 04:30,18.6,28.7,4.9,6.7,7.6,6.7,20.5,3.4,5.2,5.7,3.5,22.7
