DateTime,Market E1 Energy,Market N1 Energy,Market North Non-Spin,Market North RegDwn,Market North RegUp,Market North Spin,Market S1 Energy,Market South Non-Spin,Market South RegDwn,Market South RegUp,Market South Spin,Market W1 Energy
5/10/2023 00:00,22.23,27.9,3.67,3.91,4.89,3.91,24.45,3.06,3.97,4.48,3.16,25.47
5/10/2023 00:15,21.36,26.81,3.52,3.76,4.7,3.76,23.5,2.94,3.82,4.31,3.03,24.48
5/10/2023 00:30,21.58,27.08,3.56,3.8,4.75,3.8,23.74,2.97,3.86,4.35,3.06,24.73
5/10/2023 00:45,22.01,27.63,3.63,3.87,4.84,3.87,24.21,3.03,3.93,4.44,3.13,25.22
5/10/2023 01:00,25.64,32.01,3.7,3.95,4.94,3.95,28.12,3.09,4.01,4.53,3.19,29.15
5/10/2023 01:15,24.15,30.14,3.49,3.72,4.65,3.72,26.49,2.91,3.78,4.26,3,27.46
5/10/2023 01:30,25.39,31.7,3.67,3.91,4.89,3.91,27.85,3.06,3.97,4.48,3.16,28.87
5/10/2023 01:45,24.4,30.45,3.52,3.76,4.7,3.76,26.76,2.94,3.82,4.31,3.03,27.74
5/10/2023 02:00,19.79,25.2,3.63,4.14,5.09,4.14,21.94,3.03,4.14,4.66,3.13,23.15
5/10/2023 02:15,19.4,24.71,3.56,4.05,4.98,4.05,21.51,2.97,4.05,4.57,3.06,22.7
5/10/2023 02:30,20.18,25.7,3.7,4.22,5.19,4.22,22.38,3.09,4.22,4.75,3.19,23.61
5/10/2023 02:45,19.01,24.21,3.49,3.97,4.88,3.97,21.07,2.91,3.97,4.48,3,22.24
5/10/2023 03:00,18.52,28.07,5.64,6.06,7.05,6.06,20.44,3.92,4.8,5.39,4.01,21.42
5/10/2023 03:15,19.27,29.22,5.87,6.31,7.34,6.31,21.27,4.08,4.99,5.61,4.18,22.29
5/10/2023 03:30,19.08,28.93,5.81,6.25,7.27,6.25,21.06,4.04,4.94,5.55,4.14,22.07
5/10/2023 03:45,18.71,28.36,5.7,6.12,7.12,6.12,20.65,3.96,4.85,5.44,4.05,21.64
5/10/2023 04:00,21.52,33.92,5.87,7.92,8.81,7.92,24.25,4.08,6.01,6.73,4.18,26.29
5/10/2023 04:15,20.67,32.59,5.64,7.61,8.46,7.61,23.3,3.92,5.78,6.46,4.01,25.26
5/10/2023 04:30,20.88,32.92,5.7,7.69,8.55,7.69,23.54,3.96,5.84,6.53,4.05,25.52
5/10/2023 04:45,21.31,33.59,5.81,7.84,8.72,7.84,24.01,4.04,5.95,6.66,4.14,26.03
5/10/2023 05:00,19.46,29.5,10.38,11.26,11.86,11.26,21.48,7.21,8.13,9.06,7.31,22.51
5/10/2023 05:15,18.33,27.79,9.77,10.61,11.17,10.61,20.23,6.79,7.66,8.53,6.88,21.2
5/10/2023 05:30,19.27,29.22,10.28,11.15,11.75,11.15,21.27,7.14,8.05,8.97,7.24,22.29
5/10/2023 05:45,18.52,28.07,9.87,10.72,11.28,10.72,20.44,6.86,7.74,8.62,6.95,21.42
5/10/2023 06:00,20.2,31.26,10.18,11.84,12.36,11.84,22.54,7.07,8.48,9.44,7.17,24.05
5/10/2023 06:15,19.8,30.65,9.97,11.61,12.11,11.61,22.09,6.93,8.31,9.25,7.02,23.58
5/10/2023 06:30,20.6,31.88,10.38,12.08,12.6,12.08,22.98,7.21,8.65,9.63,7.31,24.53
5/10/2023 06:45,19.4,30.03,9.77,11.37,11.87,11.37,21.65,6.79,8.14,9.06,6.88,23.1
5/10/2023 07:00,17.64,28.22,9.87,12.26,12.7,12.26,20.04,6.86,8.72,9.7,6.95,22
5/10/2023 07:15,18.36,29.37,10.28,12.77,13.21,12.77,20.85,7.14,9.07,10.09,7.24,22.89
5/10/2023 07:30,18.18,29.08,10.18,12.64,13.08,12.64,20.65,7.07,8.98,9.99,7.17,22.67
5/10/2023 07:45,17.82,28.51,9.97,12.39,12.83,12.39,20.24,6.93,8.81,9.8,7.02,22.22
5/10/2023 08:00,41.71,61.53,10.28,11.15,11.75,11.15,45.4,7.14,8.05,8.97,7.24,46.42
5/10/2023 08:15,40.08,59.12,9.87,10.72,11.28,10.72,43.61,6.86,7.74,8.62,6.95,44.59
5/10/2023 08:30,40.49,59.72,9.97,10.83,11.4,10.83,44.06,6.93,7.82,8.71,7.02,45.05
5/10/2023 08:45,41.3,60.93,10.18,11.04,11.63,11.04,44.95,7.07,7.97,8.88,7.17,45.96
5/10/2023 09:00,33.37,49.53,10.38,11.26,11.86,11.26,36.44,7.21,8.13,9.06,7.31,37.47
5/10/2023 09:15,31.42,46.64,9.77,10.61,11.17,10.61,34.31,6.79,7.66,8.53,6.88,35.28
5/10/2023 09:30,33.04,49.05,10.28,11.15,11.75,11.15,36.08,7.14,8.05,8.97,7.24,37.1
5/10/2023 09:45,31.75,47.12,9.87,10.72,11.28,10.72,34.67,6.86,7.74,8.62,6.95,35.65
5/10/2023 10:00,19.19,33.45,10.18,15.84,15.99,15.84,22.84,7.07,11,12.22,7.17,26.88
5/10/2023 10:15,18.81,32.78,9.97,15.53,15.68,15.53,22.39,6.93,10.79,11.97,7.02,26.35
5/10/2023 10:30,19.57,34.11,10.38,16.16,16.31,16.16,23.29,7.21,11.22,12.46,7.31,27.41
5/10/2023 10:45,18.43,32.12,9.77,15.21,15.36,15.21,21.94,6.79,10.57,11.73,6.88,25.82
5/10/2023 11:00,45.86,70.27,9.87,13.82,14.11,13.82,50.92,6.86,9.7,10.78,6.95,53.86
5/10/2023 11:15,47.73,73.14,10.28,14.39,14.68,14.39,52.99,7.14,10.09,11.22,7.24,56.05
5/10/2023 11:30,47.26,72.42,10.18,14.25,14.54,14.25,52.47,7.07,9.99,11.11,7.17,55.5
5/10/2023 11:45,46.33,70.99,9.97,13.96,14.25,13.96,51.44,6.93,9.8,10.89,7.02,54.41
5/10/2023 12:00,52.83,74.61,10.28,7.92,8.81,7.92,56.23,7.14,6.01,6.73,7.24,55.21
5/10/2023 12:15,50.76,71.68,9.87,7.61,8.46,7.61,54.02,6.86,5.78,6.46,6.95,53.04
5/10/2023 12:30,51.28,72.41,9.97,7.69,8.55,7.69,54.57,6.93,5.84,6.53,7.02,53.58
5/10/2023 12:45,52.31,73.88,10.18,7.84,8.72,7.84,55.68,7.07,5.95,6.66,7.17,54.67
5/10/2023 13:00,53.45,74,10.38,6.37,7.41,6.37,56.33,7.21,5.04,5.66,7.31,54.27
5/10/2023 13:15,50.34,69.69,9.77,6,6.98,6,53.04,6.79,4.75,5.33,6.88,51.1
5/10/2023 13:30,52.93,73.28,10.28,6.31,7.34,6.31,55.78,7.14,4.99,5.61,7.24,53.74
5/10/2023 13:45,50.86,70.41,9.87,6.06,7.05,6.06,53.59,6.86,4.8,5.39,6.95,51.63
5/10/2023 14:00,50.7,58.41,8.48,5.21,6.06,5.21,53.38,7.07,4.94,5.55,7.17,51.36
